frame,battery,height,status,timestamp
612,72,100,Flying,20:35:03
613,72,100,Flying,20:35:03
614,72,100,Flying,20:35:03
615,72,100,Flying,20:35:03
616,72,100,Flying,20:35:03
617,72,100,Flying,20:35:03
618,72,100,Flying,20:35:03
619,72,100,Flying,20:35:03
620,72,100,Flying,20:35:03
621,72,100,Flying,20:35:03
622,72,100,Flying,20:35:03
623,72,100,Flying,20:35:03
624,72,100,Flying,20:35:03
625,72,100,Flying,20:35:03
626,72,100,Flying,20:35:03
627,71,110,Flying,20:35:04
628,71,110,Flying,20:35:04
629,71,110,Flying,20:35:04
630,71,110,Flying,20:35:04
631,71,110,Flying,20:35:04
632,71,110,Flying,20:35:04
633,71,110,Flying,20:35:04
634,71,110,Flying,20:35:04
635,71,110,Flying,20:35:04
636,71,110,Flying,20:35:04
637,71,110,Flying,20:35:04
638,71,110,Flying,20:35:04
639,71,110,Flying,20:35:04
640,71,110,Flying,20:35:04
641,71,110,Flying,20:35:04
642,71,110,Flying,20:35:04
643,71,110,Flying,20:35:04
644,71,110,Flying,20:35:04
645,71,110,Flying,20:35:04
646,71,110,Flying,20:35:04
647,71,110,Flying,20:35:05
648,71,110,Flying,20:35:05
649,71,110,Flying,20:35:05
650,71,110,Flying,20:35:05
651,71,110,Flying,20:35:05
652,71,110,Flying,20:35:05
653,71,110,Flying,20:35:05
654,71,110,Flying,20:35:05
655,71,110,Flying,20:35:05
656,71,110,Flying,20:35:05
657,70,100,Flying,20:35:05
658,70,100,Flying,20:35:05
659,70,100,Flying,20:35:05
660,70,100,Flying,20:35:05
661,70,100,Flying,20:35:05
662,70,100,Flying,20:35:05
663,70,100,Flying,20:35:05
664,70,100,Flying,20:35:05
665,70,100,Flying,20:35:05
666,70,100,Flying,20:35:05
667,70,100,Flying,20:35:06
668,70,100,Flying,20:35:06
669,70,100,Flying,20:35:06
670,70,100,Flying,20:35:06
671,70,100,Flying,20:35:06
672,70,100,Flying,20:35:06
673,70,100,Flying,20:35:06
674,70,100,Flying,20:35:06
675,70,100,Flying,20:35:06
676,70,100,Flying,20:35:06
677,70,100,Flying,20:35:06
678,70,100,Flying,20:35:06
679,70,100,Flying,20:35:06
680,70,100,Flying,20:35:06
681,70,100,Flying,20:35:06
682,70,100,Flying,20:35:06
683,70,100,Flying,20:35:06
684,70,100,Flying,20:35:06
685,70,100,Flying,20:35:07
686,70,100,Flying,20:35:07
687,70,100,Flying,20:35:07
688,70,100,Flying,20:35:07
689,70,100,Flying,20:35:07
690,70,100,Flying,20:35:07
691,70,100,Flying,20:35:07
692,70,100,Flying,20:35:07
693,70,100,Flying,20:35:07
694,70,100,Flying,20:35:07
695,70,100,Flying,20:35:07
696,70,100,Flying,20:35:07
697,70,100,Flying,20:35:07
698,70,100,Flying,20:35:07
699,70,100,Flying,20:35:07
700,70,100,Flying,20:35:07
701,70,100,Flying,20:35:07
702,70,100,Flying,20:35:07
703,70,100,Flying,20:35:07
704,70,100,Flying,20:35:07
705,70,100,Flying,20:35:08
706,70,100,Flying,20:35:08
707,70,100,Flying,20:35:08
708,70,100,Flying,20:35:08
709,70,100,Flying,20:35:08
710,70,100,Flying,20:35:08
711,70,100,Flying,20:35:08
712,70,100,Flying,20:35:08
713,70,100,Flying,20:35:08
714,70,100,Flying,20:35:08
715,70,100,Flying,20:35:08
716,70,100,Flying,20:35:08
717,69,100,Flying,20:35:08
718,69,100,Flying,20:35:08
719,69,100,Flying,20:35:08
720,69,100,Flying,20:35:08
721,69,100,Flying,20:35:08
722,69,100,Flying,20:35:08
723,69,100,Flying,20:35:08
